um_title,onet_code,onet_title,mapping_method,gemini_confidence
German Language Teacher,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",gemini,0.85
Gerontologist,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.75
Global Risk Manager,13-2054.00,Financial Risk Specialists,gemini,0.85
Government Legal Advisor,23-1011.00,Lawyers,gemini,0.95
Government Legal Officer,23-1011.00,Lawyers,gemini,0.95
Government Officer,,,unmapped,0.6
Government Policy Advisor,19-3094.00,Political Scientists,gemini,0.8
Graphic Designer,27-1024.00,Graphic Designers,curated,
Green Building Consultant,13-1199.05,Sustainability Specialists,gemini,0.85
Green Building Specialist,13-1199.05,Sustainability Specialists,gemini,0.85
Groundwater Consultant,19-2043.00,Hydrologists,curated,
Group Counselor,21-1019.00,"Counselors, All Other",gemini,0.85
HVAC Engineer,17-2141.00,Mechanical Engineers,gemini,0.9
Habitat Restoration Specialist,19-2041.02,Environmental Restoration Planners,curated,
Hadith Researcher,21-2099.00,"Religious Workers, All Other",gemini,0.8
Halal Certification Officer,13-1041.00,Compliance Officers,gemini,0.85
Halal Industry Executive,13-1041.00,Compliance Officers,gemini,0.8
Health Promotion Specialist,21-1091.00,Health Education Specialists,curated,
Health and Nutrition Specialist,29-1031.00,Dietitians and Nutritionists,gemini,0.9
Health and Safety Officer,19-5011.00,Occupational Health and Safety Specialists,gemini,0.95
Healthcare Consultant,13-1111.00,Management Analysts,gemini,0.85
Healthcare Technology Manager,11-9111.00,Medical and Health Services Managers,gemini,0.85
Heat Transfer Engineer,17-2141.00,Mechanical Engineers,gemini,0.85
Heritage And Cultural Officer,25-4012.00,Curators,gemini,0.8
Heritage Conservation Officer,25-4013.00,Museum Technicians and Conservators,gemini,0.8
Heritage Officer,25-4012.00,Curators,gemini,0.8
Heritage Preservation Officer,25-4013.00,Museum Technicians and Conservators,gemini,0.8
Heritage Tourism Specialist,,,unmapped,0.65
Highway Engineer,17-2051.01,Transportation Engineers,gemini,0.95
Historian,19-3093.00,Historians,curated,
Historical Consultant,19-3093.00,Historians,gemini,0.9
Hospital Administrator,11-9111.00,Medical and Health Services Managers,gemini,0.95
Hospital Dentist,29-1021.00,"Dentists, General",gemini,0.9
Hospital Pharmacist,29-1051.00,Pharmacists,curated,
Housing Development Officer,19-3051.00,Urban and Regional Planners,gemini,0.8
Human Resources Officer,13-1071.00,Human Resources Specialists,gemini,0.95
Human Resources Specialist,13-1071.00,Human Resources Specialists,curated,
Human Rights Advocate,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.8
Human-Computer Interaction Specialist,17-2112.01,Human Factors Engineers and Ergonomists,gemini,0.85
Hydraulic Engineer,17-2051.02,Water/Wastewater Engineers,gemini,0.9
Hydrogeologist,19-2043.00,Hydrologists,curated,
IT Consultant,15-1211.00,Computer Systems Analysts,gemini,0.9
IT Project Manager,15-1299.09,Information Technology Project Managers,gemini,0.95
Imam,21-2011.00,Clergy,curated,
In-house Counsel,23-1011.00,Lawyers,gemini,0.95
Industrial Engineer,17-2112.00,Industrial Engineers,curated,
Industrial Microbiologist,19-1022.00,Microbiologists,gemini,0.95
Industrial Pharmacist,29-1051.00,Pharmacists,gemini,0.9
Industrial and Organizational Psychologist,19-3032.00,Industrial-Organizational Psychologists,gemini,0.95
Infection Control Nurse,29-1141.00,Registered Nurses,gemini,0.95
Information Security Analyst,15-1212.00,Information Security Analysts,curated,
Information Systems Auditor,13-2011.00,Accountants and Auditors,gemini,0.85
Information Systems Manager,11-3021.00,Computer and Information Systems Managers,gemini,0.98
Infrastructure Planner,19-3051.00,Urban and Regional Planners,gemini,0.9
Instructional Designer,25-9031.00,Instructional Coordinators,curated,
Instrumentation Engineer,17-2072.00,"Electronics Engineers, Except Computer",gemini,0.88
Insurance Broker,41-3021.00,Insurance Sales Agents,curated,
Insurance Claims Adjuster,13-1031.00,"Claims Adjusters, Examiners, and Investigators",gemini,0.98
Insurance Underwriter,13-2053.00,Insurance Underwriters,curated,
Intellectual Property Lawyer,23-1011.00,Lawyers,gemini,0.98
Intelligence Analyst,33-3021.06,Intelligence Analysts,gemini,0.98
Intelligence Officer,33-3021.06,Intelligence Analysts,gemini,0.92
Interaction Designer,15-1255.00,Web and Digital Interface Designers,gemini,0.9
Interfaith Dialogue Coordinator,21-2099.00,"Religious Workers, All Other",gemini,0.85
Interfaith Dialogue Facilitator,21-2099.00,"Religious Workers, All Other",gemini,0.82
Interior Designer,27-1025.00,Interior Designers,curated,
Internal Auditor,13-2011.00,Accountants and Auditors,gemini,0.95
Internal Combustion Engine Specialist,17-2141.02,Automotive Engineers,gemini,0.88
International Business Consultant,13-1111.00,Management Analysts,gemini,0.9
International Business Development Manager,11-2021.00,Marketing Managers,gemini,0.8
International Development Officer,11-9151.00,Social and Community Service Managers,gemini,0.8
International Development Specialist,13-1199.00,"Business Operations Specialists, All Other",gemini,0.8
International Law Specialist,23-1011.00,Lawyers,gemini,0.9
International Lawyer,23-1011.00,Lawyers,gemini,0.98
International Relations Consultant,19-3094.00,Political Scientists,gemini,0.85
International Relations Officer,19-3094.00,Political Scientists,gemini,0.85
International Relations Specialist,19-3094.00,Political Scientists,gemini,0.85
International Trade Specialist,13-1199.00,"Business Operations Specialists, All Other",gemini,0.85
Interpreter,27-3091.00,Interpreters and Translators,curated,
Investment Analyst,13-2051.00,Financial and Investment Analysts,curated,
Investment Analyst (Islamic Funds),13-2051.00,Financial and Investment Analysts,curated,
Investment Banker,13-2051.00,Financial and Investment Analysts,gemini,0.95
Islamic Affairs Officer,21-2099.00,"Religious Workers, All Other",gemini,0.85
Islamic Banking Officer,13-2099.00,"Financial Specialists, All Other",gemini,0.85
Islamic Capital Market Executive,13-2051.00,Financial and Investment Analysts,gemini,0.85
Islamic Child Rearing Specialist,21-1021.00,"Child, Family, and School Social Workers",gemini,0.75
Islamic Content Writer,27-3043.00,Writers and Authors,gemini,0.9
Islamic Counsellor,21-1019.00,"Counselors, All Other",gemini,0.85
Islamic Court Judge,23-1023.00,"Judges, Magistrate Judges, and Magistrates",gemini,0.95
Islamic Curriculum Developer,25-9031.00,Instructional Coordinators,gemini,0.92
Islamic E-Learning Content Developer,25-9031.00,Instructional Coordinators,gemini,0.88
Islamic Education Broadcaster,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,gemini,0.85
Islamic Education Coordinator,25-9031.00,Instructional Coordinators,gemini,0.9
Islamic Education Curriculum Developer,25-9031.00,Instructional Coordinators,gemini,0.85
Islamic Education Inspector,25-9031.00,Instructional Coordinators,gemini,0.85
Islamic Education Researcher,25-9031.00,Instructional Coordinators,gemini,0.8
Islamic Education Teacher,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",gemini,0.82
Islamic Education Trainer,13-1151.00,Training and Development Specialists,gemini,0.88
Islamic Ethics Consultant,21-2099.00,"Religious Workers, All Other",gemini,0.8
Islamic Event Organizer,13-1121.00,"Meeting, Convention, and Event Planners",gemini,0.9
Islamic Finance Advisor,13-2052.00,Personal Financial Advisors,gemini,0.88
Islamic Finance Consultant,13-2051.00,Financial and Investment Analysts,gemini,0.85
Islamic Finance Executive,13-2099.00,"Financial Specialists, All Other",gemini,0.82
Islamic Heritage Researcher,19-3093.00,Historians,gemini,0.88
Islamic Historian,19-3093.00,Historians,gemini,0.98
Islamic Judge (Qadi),23-1023.00,"Judges, Magistrate Judges, and Magistrates",gemini,0.95
Islamic Law Consultant,23-1011.00,Lawyers,gemini,0.85
Islamic Legal Researcher,23-2011.00,Paralegals and Legal Assistants,gemini,0.88
Islamic Legal Trainer,13-1151.00,Training and Development Specialists,gemini,0.82
Islamic Museum Curator,25-4012.00,Curators,gemini,0.95
Islamic NGO Education Officer,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.8
Islamic NGO Officer,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.82
Islamic Scholar,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",gemini,0.9
Islamic Studies Lecturer,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",gemini,0.95
Islamic Wealth Management Advisor,13-2052.00,Personal Financial Advisors,gemini,0.9
Islamic Youth Educator,21-2021.00,"Directors, Religious Activities and Education",gemini,0.85
Islamic Youth Mentor,21-2021.00,"Directors, Religious Activities and Education",gemini,0.8
Italian Language Teacher,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",gemini,0.95
Japanese Language Teacher,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",gemini,0.95
Jazz Musician,27-2042.00,Musicians and Singers,gemini,0.95
Journalist,27-3023.00,"News Analysts, Reporters, and Journalists",curated,
Journalist/Foreign Correspondent,27-3023.00,"News Analysts, Reporters, and Journalists",curated,
Judge,23-1023.00,"Judges, Magistrate Judges, and Magistrates",curated,
Judicial Officer,23-1023.00,"Judges, Magistrate Judges, and Magistrates",gemini,0.9
Kindergarten Teacher,25-2012.00,"Kindergarten Teachers, Except Special Education",gemini,1.0
Kinesiologist,29-1128.00,Exercise Physiologists,gemini,0.85
Laboratory Manager,11-9121.00,Natural Sciences Managers,gemini,0.85
Laboratory Technician,19-4099.00,"Life, Physical, and Social Science Technicians, All Other",gemini,0.75
Laboratory Technologist,29-2011.00,Medical and Clinical Laboratory Technologists,gemini,0.8
Land Economist,19-3011.00,Economists,gemini,0.85
Land Use Planner,19-3051.00,Urban and Regional Planners,gemini,0.95
Land and Property Surveyor,17-1022.00,Surveyors,gemini,0.95
Landscape Designer,17-1012.00,Landscape Architects,curated,
Language Arts Specialist,25-9031.00,Instructional Coordinators,gemini,0.85
Language Assessment Specialist,25-9031.00,Instructional Coordinators,gemini,0.75
Language Consultant,,,unmapped,0.7
Language Curriculum Developer,25-9031.00,Instructional Coordinators,gemini,0.9
Language Instructor,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",gemini,0.85
Language Learning Specialist,25-9031.00,Instructional Coordinators,gemini,0.8
Language Planner,,,unmapped,0.7
Language Policy Officer,,,unmapped,0.7
Language Researcher,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.85
Language Specialist,27-3099.00,"Media and Communication Workers, All Other",gemini,0.75
Language Specialist/Translator,27-3091.00,Interpreters and Translators,curated,
Language Teacher,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",gemini,0.85
Language Trainer,25-3021.00,Self-Enrichment Teachers,gemini,0.8
Law Clerk,23-1012.00,Judicial Law Clerks,curated,
Law Enforcement Officer Specializing In Shariah,33-3051.00,Police and Sheriff's Patrol Officers,gemini,0.8
Lawyer,23-1011.00,Lawyers,curated,
Learning Disabilities Specialist,25-2059.00,"Special Education Teachers, All Other",gemini,0.85
Leasing Manager,11-9141.00,"Property, Real Estate, and Community Association Managers",curated,
Lecturer,25-1199.00,"Postsecondary Teachers, All Other",gemini,0.9
Lecturer In Islamic Universities,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",gemini,0.85
Lecturer In Shariah And Law,25-1112.00,"Law Teachers, Postsecondary",gemini,0.9
Lecturer In Syariah Studies,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",gemini,0.9
Lecturer or Academic Researcher in Islamic Finance,25-1011.00,"Business Teachers, Postsecondary",gemini,0.85
Legal Advisor,23-1011.00,Lawyers,gemini,0.95
Legal Advisor In Islamic Finance,23-1011.00,Lawyers,gemini,0.9
Legal Affairs Manager,11-9199.00,"Managers, All Other",gemini,0.8
Legal Analyst,23-2011.00,Paralegals and Legal Assistants,curated,
Legal Auditor,13-1041.00,Compliance Officers,gemini,0.75
Legal Consultant,23-1011.00,Lawyers,gemini,0.95
Legal Consultant In Syariah Law,23-1011.00,Lawyers,gemini,0.95
Legal Editor/Writer,27-3041.00,Editors,curated,
Legal Executive,23-2011.00,Paralegals and Legal Assistants,gemini,0.9
Legal Officer,23-1011.00,Lawyers,gemini,0.9
Legal Policy Analyst,19-3094.00,Political Scientists,gemini,0.75
Legal Researcher,23-2011.00,Paralegals and Legal Assistants,gemini,0.85
Legal Writer/Journalist,27-3023.00,"News Analysts, Reporters, and Journalists",curated,
Legislative Drafter,23-1011.00,Lawyers,gemini,0.9
Lexicographer,27-3043.00,Writers and Authors,gemini,0.85
Lighting Designer,27-1029.00,"Designers, All Other",gemini,0.8
Linguist,27-3091.00,Interpreters and Translators,curated,
Linguistic Researcher,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.9
Literacy Coach,25-9031.00,Instructional Coordinators,gemini,0.9
Literary Agent,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",curated,
Literary Critic,27-3043.00,Writers and Authors,gemini,0.85
Literature Researcher,,,unmapped,0.5
Loan Officer,13-2072.00,Loan Officers,curated,
Localization Specialist,27-3091.00,Interpreters and Translators,gemini,0.85
Machine Learning Engineer,15-2051.00,Data Scientists,gemini,0.85
Maintenance Engineer,49-9071.00,"Maintenance and Repair Workers, General",curated,
Maintenance Manager,11-3013.00,Facilities Managers,gemini,0.85
Makeup Artist,39-5091.00,"Makeup Artists, Theatrical and Performance",gemini,0.95
Malay Language Editor,27-3041.00,Editors,gemini,0.95
Malay Language Teacher,25-3099.00,"Teachers and Instructors, All Other",gemini,0.75
Management Accountant,13-2011.00,Accountants and Auditors,gemini,0.95
Management Consultant,13-1111.00,Management Analysts,gemini,0.95
Manufacturing Engineer,17-2112.03,Manufacturing Engineers,curated,
Marine Biologist,19-1029.04,Biologists,curated,
Maritime Policy Analyst,19-3094.00,Political Scientists,gemini,0.75
Maritime Trade Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,gemini,0.8
Market Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,curated,
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,curated,
Marketing Communication Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,gemini,0.9
Marketing Manager,11-2021.00,Marketing Managers,curated,
Marriage Counselor,21-1013.00,Marriage and Family Therapists,gemini,0.95
Materials Engineer,17-2131.00,Materials Engineers,curated,
Materials Scientist,19-2032.00,Materials Scientists,curated,
Mathematician,15-2021.00,Mathematicians,curated,
Mechanical Design Engineer,17-2141.00,Mechanical Engineers,curated,
Mechatronics Engineer,17-2199.05,Mechatronics Engineers,curated,
Media Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,gemini,0.75
Media And Communications Specialist In Islamic Content,27-3031.00,Public Relations Specialists,gemini,0.85
Media Designer,27-1024.00,Graphic Designers,gemini,0.85
Media Executive,27-3099.00,"Media and Communication Workers, All Other",gemini,0.7
Media Law Consultant,23-1011.00,Lawyers,gemini,0.8
Media Planner,13-1161.00,Market Research Analysts and Marketing Specialists,gemini,0.85
Media Producer,27-2012.00,Producers and Directors,gemini,0.95
Media Researcher,13-1161.00,Market Research Analysts and Marketing Specialists,gemini,0.8
Media Specialist,27-3031.00,Public Relations Specialists,gemini,0.85
Media and Communications Specialist,27-3031.00,Public Relations Specialists,gemini,0.9
Mediator,23-1022.00,"Arbitrators, Mediators, and Conciliators",curated,
Mediator In Family And Inheritance Matters,23-1022.00,"Arbitrators, Mediators, and Conciliators",gemini,0.95
Mediator In Islamic Disputes,23-1022.00,"Arbitrators, Mediators, and Conciliators",gemini,0.9
Mediator/Arbitrator,23-1022.00,"Arbitrators, Mediators, and Conciliators",curated,
Medical Consultant,29-1229.00,"Physicians, All Other",gemini,0.85
Medical Device Designer,17-2031.00,Bioengineers and Biomedical Engineers,gemini,0.9
Medical Device Developer,17-2031.00,Bioengineers and Biomedical Engineers,gemini,0.9
Medical Electronics Engineer,17-2031.00,Bioengineers and Biomedical Engineers,gemini,0.9
Medical Imaging Specialist,29-2034.00,Radiologic Technologists and Technicians,gemini,0.85
Medical Laboratory Scientist,29-2011.00,Medical and Clinical Laboratory Technologists,gemini,0.95
Medical Lecturer,25-1071.00,"Health Specialties Teachers, Postsecondary",gemini,0.95
Medical Officer,29-1229.00,"Physicians, All Other",gemini,0.85
Medical Physicist,19-2012.00,Physicists,gemini,0.9
Medical Researcher,19-1042.00,"Medical Scientists, Except Epidemiologists",curated,
Medical Sales Representative,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",gemini,0.95
Medical Science Liaison,29-9092.00,Genetic Counselors,curated,
Medical Scientist,19-1042.00,"Medical Scientists, Except Epidemiologists",gemini,0.95
Medical Social Worker,21-1022.00,Healthcare Social Workers,curated,
Mental Health Counselor,21-1014.00,Mental Health Counselors,curated,
Mergers and Acquisitions Analyst,13-2051.00,Financial and Investment Analysts,gemini,0.9
Meteorologist,19-2021.00,Atmospheric and Space Scientists,curated,
Micro Teaching Specialist,25-9031.00,Instructional Coordinators,gemini,0.8
Microbiologist,19-1022.00,Microbiologists,curated,
Microcomputer and Digital Systems Engineer,17-2061.00,Computer Hardware Engineers,gemini,0.9
Microelectronics Engineer,17-2199.06,Microsystems Engineers,gemini,0.9
Midwife,29-9099.01,Midwives,gemini,0.95
Mining Geologist,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",gemini,0.9
Mobile App Developer,15-1252.00,Software Developers,gemini,0.95
Molecular Biologist,19-1029.02,Molecular and Cellular Biologists,curated,
Molecular Geneticist,19-1029.03,Geneticists,gemini,0.95
Monitoring Specialist,,,unmapped,0.4
Moral And Civic Education Teacher (Islamic Perspective),25-3099.00,"Teachers and Instructors, All Other",gemini,0.75
Mosque Administrator,21-2021.00,"Directors, Religious Activities and Education",gemini,0.85
Mosque Imam,21-2011.00,Clergy,gemini,0.95
Movement Coach,39-9031.00,Exercise Trainers and Group Fitness Instructors,gemini,0.7
Multimedia Artist,27-1014.00,Special Effects Artists and Animators,gemini,0.95
Multimedia Producer,27-2012.00,Producers and Directors,gemini,0.9
Museum Curator,25-4012.00,Curators,curated,
Music Analyst,,,unmapped,0.5
Music Appreciation Specialist,25-3021.00,Self-Enrichment Teachers,gemini,0.8
Music Educator,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",gemini,0.85
Music Ensemble Director,27-2041.00,Music Directors and Composers,gemini,0.95
Music Pedagogue,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",gemini,0.85
Music Producer,27-2012.00,Producers and Directors,gemini,0.9
Music Therapist,29-1129.02,Music Therapists,curated,
Music and Movement Instructor,25-3021.00,Self-Enrichment Teachers,gemini,0.8
Music for Animation and Film Composer,27-2041.00,Music Directors and Composers,gemini,0.95
Musician,27-2042.00,Musicians and Singers,curated,
NGO Coordinator,11-9151.00,Social and Community Service Managers,gemini,0.85
NGO Legal Advisor,23-1011.00,Lawyers,gemini,0.9
NGO Program Officer,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.8
NGO Worker Specializing In Islamic Law,23-1011.00,Lawyers,gemini,0.75
NGO Worker/Coordinator,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.8
Nanomaterials Engineer,17-2199.09,Nanosystems Engineers,gemini,0.9
Nanotechnology Engineer,17-2199.09,Nanosystems Engineers,gemini,0.95
Nanotechnology Researcher,17-2199.09,Nanosystems Engineers,gemini,0.85
Natural Language Processing Engineer,15-1221.00,Computer and Information Research Scientists,gemini,0.85
Natural Resource Manager,19-1031.02,Range Managers,curated,
Network Administrator,15-1244.00,Network and Computer Systems Administrators,gemini,0.98
Network Engineer,15-1241.00,Computer Network Architects,gemini,0.9
Network Security Specialist,15-1212.00,Information Security Analysts,gemini,0.9
News Broadcaster,27-3023.00,"News Analysts, Reporters, and Journalists",gemini,0.85
News Reporter,27-3023.00,"News Analysts, Reporters, and Journalists",curated,
News Writer,27-3023.00,"News Analysts, Reporters, and Journalists",gemini,0.9
Non-Governmental Organization (NGO) Legal Advisor,23-1011.00,Lawyers,gemini,0.95
Non-Governmental Organization (NGO) Specialist,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.85
Non-Governmental Organization (NGO) Worker,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.85
Nonprofit Organization Specialist,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.85
Nonprofit Program Manager,11-9151.00,Social and Community Service Managers,gemini,0.9
Notary Public,23-2099.00,"Legal Support Workers, All Other",gemini,0.7
Novelist,27-3043.05,"Poets, Lyricists and Creative Writers",curated,
Nurse Case Manager,29-1141.00,Registered Nurses,gemini,0.9
Nurse Educator,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",curated,
Nurse Manager,11-9111.00,Medical and Health Services Managers,curated,
Nurse Researcher,19-1042.00,"Medical Scientists, Except Epidemiologists",gemini,0.9
Obstetrician and Gynecologist,29-1218.00,Obstetricians and Gynecologists,gemini,1.0
Occupational Health Doctor,29-1229.05,Preventive Medicine Physicians,gemini,0.9
Occupational Health Nurse,29-1141.00,Registered Nurses,gemini,0.9
Occupational Therapist (with further study),29-1122.00,Occupational Therapists,curated,
Online Counselor,21-1014.00,Mental Health Counselors,gemini,0.85
Operating Room Nurse,29-1141.01,Acute Care Nurses,gemini,0.85
Operations Analyst,15-2031.00,Operations Research Analysts,gemini,0.95
Operations Manager,11-1021.00,General and Operations Managers,curated,
Operations Research Analyst,15-2031.00,Operations Research Analysts,curated,
Optical Engineer,17-2199.07,Photonics Engineers,curated,
Oral & Maxillofacial Surgeon,29-1022.00,Oral and Maxillofacial Surgeons,curated,
Oral Medicine Specialist,29-1029.00,"Dentists, All Other Specialists",gemini,0.9
Orchestra Conductor,27-2041.00,Music Directors and Composers,gemini,0.95
Orchestra Musician,27-2042.00,Musicians and Singers,curated,
Organizational Consultant,19-3032.00,Industrial-Organizational Psychologists,curated,
Paediatric Dentist,29-1029.00,"Dentists, All Other Specialists",gemini,0.9
Palliative Care Nurse,29-1141.00,Registered Nurses,gemini,0.9
Park Ranger,19-1031.03,Park Naturalists,curated,
Pathologist,29-1222.00,"Physicians, Pathologists",curated,
Payroll Specialist,43-3051.00,Payroll and Timekeeping Clerks,curated,
Pediatric Nurse,29-1141.00,Registered Nurses,gemini,0.9
Pediatrician,29-1221.00,"Pediatricians, General",gemini,1.0
Penetration Tester,15-1299.04,Penetration Testers,curated,
Pension Consultant,13-2052.00,Personal Financial Advisors,gemini,0.75
Performance Analyst in Literature Education,,,unmapped,0.7
Performance Artist,27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other",gemini,0.85
Performance Coach,27-2022.00,Coaches and Scouts,gemini,0.75
Performance Designer,27-1027.00,Set and Exhibit Designers,gemini,0.85
Performing Arts Educator,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",gemini,0.85
Periodontist,29-1021.00,"Dentists, General",curated,
Petroleum Engineer,17-2171.00,Petroleum Engineers,curated,
Petroleum Geologist,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",curated,
Pharmaceutical Sales Representative,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",gemini,0.95
Pharmaceutical Scientist,19-1042.00,"Medical Scientists, Except Epidemiologists",gemini,0.9
Pharmacovigilance Officer,13-1041.07,Regulatory Affairs Specialists,gemini,0.9
Pharmacy Benefits Analyst,13-1199.00,"Business Operations Specialists, All Other",gemini,0.7
Photojournalist,27-4021.00,Photographers,curated,
Physical Therapy Assistant,31-2021.00,Physical Therapist Assistants,gemini,0.95
Physicist,19-2012.00,Physicists,curated,
Physics Lecturer,25-1054.00,"Physics Teachers, Postsecondary",curated,
Piano Instructor,25-3021.00,Self-Enrichment Teachers,gemini,0.85
Planning Consultant,19-3051.00,Urban and Regional Planners,curated,
Planning Officer,19-3051.00,Urban and Regional Planners,gemini,0.75
Play Therapist,21-1013.00,Marriage and Family Therapists,curated,
Playwright,27-3043.05,"Poets, Lyricists and Creative Writers",gemini,0.9
Poet,27-3043.05,"Poets, Lyricists and Creative Writers",curated,
Policy Advisor,19-3094.00,Political Scientists,gemini,0.8
Policy Analyst,19-3094.00,Political Scientists,gemini,0.85
Policy Analyst In Islamic Law,19-3094.00,Political Scientists,gemini,0.85
Policy Writer,27-3043.00,Writers and Authors,gemini,0.8
Political Analyst,19-3094.00,Political Scientists,gemini,0.95
Portfolio Manager,11-3031.03,Investment Fund Managers,gemini,0.95
Power Plant Engineer,17-2199.03,"Energy Engineers, Except Wind and Solar",gemini,0.9
Power System Engineer,17-2071.00,Electrical Engineers,gemini,0.95
Pricing Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,gemini,0.85
Principal Study Musician,27-2042.00,Musicians and Singers,gemini,0.9
Private Practice Owner,11-1021.00,General and Operations Managers,gemini,0.8
Process Design Engineer,17-2041.00,Chemical Engineers,gemini,0.9
Process Integration Engineer,17-2112.03,Manufacturing Engineers,gemini,0.85
Process Safety Consultant,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",gemini,0.9
Procurement Officer,43-3061.00,Procurement Clerks,curated,
Product Design Engineer,27-1021.00,Commercial and Industrial Designers,gemini,0.85
Product Manager,11-2021.00,Marketing Managers,curated,
Production Engineer,27-4012.00,Broadcast Technicians,curated,
Production Manager,11-3051.00,Industrial Production Managers,gemini,0.95
Production Pharmacist,29-1051.00,Pharmacists,gemini,0.9
Program Coordinator for Counseling Services,11-9151.00,Social and Community Service Managers,gemini,0.85
Program Planner,13-1082.00,Project Management Specialists,gemini,0.8
Project Coordinator,13-1082.00,Project Management Specialists,gemini,0.9
Project Manager,11-9041.00,Architectural and Engineering Managers,curated,
Proofreader,43-9081.00,Proofreaders and Copy Markers,curated,
Property Analyst,13-2051.00,Financial and Investment Analysts,gemini,0.85
Property Consultant,41-9022.00,Real Estate Sales Agents,gemini,0.9
Property Manager,11-9141.00,"Property, Real Estate, and Community Association Managers",curated,
Prosecutor,23-1011.00,Lawyers,curated,
Prosthetic Designer,29-2091.00,Orthotists and Prosthetists,gemini,0.9
Prosthetics and Orthotics Engineer,17-2031.00,Bioengineers and Biomedical Engineers,gemini,0.9
Prosthodontist,29-1024.00,Prosthodontists,curated,
Psychiatric Nurse,29-1141.02,Advanced Practice Psychiatric Nurses,gemini,0.95
Psychiatrist,29-1223.00,Psychiatrists,curated,
Psychological Tester,19-3039.00,"Psychologists, All Other",gemini,0.85
Public Affairs Manager,11-2032.00,Public Relations Managers,gemini,0.95
Public Health Consultant,,,unmapped,0.7
Public Health Microbiologist,19-1022.00,Microbiologists,curated,
Public Health Nurse,29-1141.00,Registered Nurses,gemini,0.95
Public Health Officer,29-1229.05,Preventive Medicine Physicians,curated,
Public Health Pharmacist,29-1051.00,Pharmacists,gemini,0.95
Public Health Specialist,21-1091.00,Health Education Specialists,gemini,0.85
Public Policy Advisor,19-3094.00,Political Scientists,gemini,0.9
Public Policy Analyst,19-3094.00,Political Scientists,gemini,0.9
Public Prosecutor In Islamic Courts,23-1011.00,Lawyers,gemini,0.9
Public Relations Executive,27-3031.00,Public Relations Specialists,gemini,0.95
Public Relations Officer,27-3031.00,Public Relations Specialists,gemini,0.95
Public Relations Specialist,27-3031.00,Public Relations Specialists,curated,
Public Sector Economist,19-3011.00,Economists,gemini,0.95
Public Speaker On Syariah Issues,21-2099.00,"Religious Workers, All Other",gemini,0.85
Publisher,43-9031.00,Desktop Publishers,curated,
Publishing Assistant,27-3041.00,Editors,gemini,0.8
Publishing Manager,11-1021.00,General and Operations Managers,gemini,0.75
Publishing Professional,27-3099.00,"Media and Communication Workers, All Other",gemini,0.75
Quality Assurance Engineer,17-2112.02,Validation Engineers,curated,
Quality Control Analyst,19-4099.01,Quality Control Analysts,curated,
Quality Control Engineer,17-2112.00,Industrial Engineers,gemini,0.85
Quantitative Analyst,13-2099.01,Financial Quantitative Analysts,curated,
Quantity Surveyor,13-1051.00,Cost Estimators,gemini,0.95
Quran Memorization Coach,25-3021.00,Self-Enrichment Teachers,gemini,0.85
Quranic Studies Lecturer,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",gemini,0.95
Quranic Studies Specialist,21-2099.00,"Religious Workers, All Other",gemini,0.8
