faculty,programme,programme_slug,um_title,onet_code,onet_title,mapping_method,gemini_confidence
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS SOUTHEAST ASIANS STUDIES,bachelor-of-arts-southeast-asians-studies,International Trade Specialist,13-1199.00,"Business Operations Specialists, All Other",gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS SOUTHEAST ASIANS STUDIES,bachelor-of-arts-southeast-asians-studies,Language Specialist,27-3099.00,"Media and Communication Workers, All Other",gemini,0.75
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS SOUTHEAST ASIANS STUDIES,bachelor-of-arts-southeast-asians-studies,Maritime Policy Analyst,19-3094.00,Political Scientists,gemini,0.75
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS SOUTHEAST ASIANS STUDIES,bachelor-of-arts-southeast-asians-studies,Non-Governmental Organization (NGO) Specialist,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS SOUTHEAST ASIANS STUDIES,bachelor-of-arts-southeast-asians-studies,Policy Advisor,19-3094.00,Political Scientists,gemini,0.8
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS SOUTHEAST ASIANS STUDIES,bachelor-of-arts-southeast-asians-studies,Social Entrepreneur,11-1011.00,Chief Executives,gemini,0.8
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS SOUTHEAST ASIANS STUDIES,bachelor-of-arts-southeast-asians-studies,Southeast Asia Regional Analyst,19-3094.00,Political Scientists,gemini,0.8
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS SOUTHEAST ASIANS STUDIES,bachelor-of-arts-southeast-asians-studies,Tourism Development Officer,13-1199.00,"Business Operations Specialists, All Other",gemini,0.75
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,Academic Researcher,25-1199.00,"Postsecondary Teachers, All Other",gemini,0.75
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,Corporate Communication Manager,11-2032.00,Public Relations Managers,gemini,0.95
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,Corporate Strategist in Multinational Companies,13-1111.00,Management Analysts,gemini,0.9
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,Cross-Cultural Trainer,13-1151.00,Training and Development Specialists,gemini,0.9
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,Cultural Consultant,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.8
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,Diplomat,,,unmapped,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,East Asian Market Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,gemini,0.9
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,Entrepreneur specializing in East Asian markets,11-1021.00,General and Operations Managers,gemini,0.65
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,Foreign Affairs Analyst,19-3094.00,Political Scientists,gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,Foreign Policy Advisor,19-3094.00,Political Scientists,gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,Government Policy Advisor,19-3094.00,Political Scientists,gemini,0.8
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,Intelligence Analyst,33-3021.06,Intelligence Analysts,gemini,0.98
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,International Business Consultant,13-1111.00,Management Analysts,gemini,0.9
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,International Development Specialist,13-1199.00,"Business Operations Specialists, All Other",gemini,0.8
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,International Relations Specialist,19-3094.00,Political Scientists,gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,Journalist/Foreign Correspondent,27-3023.00,"News Analysts, Reporters, and Journalists",curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,Language Instructor,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,Maritime Trade Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,gemini,0.8
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,Media Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,gemini,0.75
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,NGO Worker/Coordinator,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.8
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,Public Relations Specialist,27-3031.00,Public Relations Specialists,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,Tourism Consultant,13-1111.00,Management Analysts,gemini,0.75
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,Trade and Investment Officer,13-1199.00,"Business Operations Specialists, All Other",gemini,0.75
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,Translator/Interpreter,27-3091.00,Interpreters and Translators,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF EAST ASIAN STUDIES,bachelor-of-east-asian-studies,University Lecturer,25-1199.00,"Postsecondary Teachers, All Other",gemini,0.9
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF SOCIAL ADMINISTRATION,bachelor-of-social-administration,Child Welfare Officer,21-1021.00,"Child, Family, and School Social Workers",gemini,0.95
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF SOCIAL ADMINISTRATION,bachelor-of-social-administration,Community Development Specialist,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF SOCIAL ADMINISTRATION,bachelor-of-social-administration,Community Outreach Coordinator,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF SOCIAL ADMINISTRATION,bachelor-of-social-administration,Crime Prevention Specialist,13-1199.07,Security Management Specialists,gemini,0.8
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF SOCIAL ADMINISTRATION,bachelor-of-social-administration,Criminologist,19-3041.00,Sociologists,gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF SOCIAL ADMINISTRATION,bachelor-of-social-administration,Disability Advocate,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF SOCIAL ADMINISTRATION,bachelor-of-social-administration,Gerontologist,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.75
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF SOCIAL ADMINISTRATION,bachelor-of-social-administration,Medical Social Worker,21-1022.00,Healthcare Social Workers,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF SOCIAL ADMINISTRATION,bachelor-of-social-administration,Mental Health Counselor,21-1014.00,Mental Health Counselors,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF SOCIAL ADMINISTRATION,bachelor-of-social-administration,Nonprofit Program Manager,11-9151.00,Social and Community Service Managers,gemini,0.9
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF SOCIAL ADMINISTRATION,bachelor-of-social-administration,Policy Analyst,19-3094.00,Political Scientists,gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF SOCIAL ADMINISTRATION,bachelor-of-social-administration,Rehabilitation Specialist,21-1015.00,Rehabilitation Counselors,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF SOCIAL ADMINISTRATION,bachelor-of-social-administration,Social Entrepreneur,11-1011.00,Chief Executives,gemini,0.8
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF SOCIAL ADMINISTRATION,bachelor-of-social-administration,Social Planner,19-3051.00,Urban and Regional Planners,gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF SOCIAL ADMINISTRATION,bachelor-of-social-administration,Social Policy Advisor,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF SOCIAL ADMINISTRATION,bachelor-of-social-administration,Social Researcher,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF SOCIAL ADMINISTRATION,bachelor-of-social-administration,Social Services Administrator,11-9151.00,Social and Community Service Managers,gemini,0.9
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF SOCIAL ADMINISTRATION,bachelor-of-social-administration,Social Worker,21-1029.00,"Social Workers, All Other",gemini,0.9
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS HISTORY,bachelor-of-arts-history,Academic Lecturer,25-1199.00,"Postsecondary Teachers, All Other",gemini,0.9
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS HISTORY,bachelor-of-arts-history,Archivist,25-4011.00,Archivists,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS HISTORY,bachelor-of-arts-history,Cultural Heritage Manager,25-4012.00,Curators,gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS HISTORY,bachelor-of-arts-history,Educational Program Developer,25-9031.00,Instructional Coordinators,gemini,0.9
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS HISTORY,bachelor-of-arts-history,Government Officer,,,unmapped,0.6
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS HISTORY,bachelor-of-arts-history,Heritage Tourism Specialist,,,unmapped,0.65
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS HISTORY,bachelor-of-arts-history,Historical Consultant,19-3093.00,Historians,gemini,0.9
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS HISTORY,bachelor-of-arts-history,Historian,19-3093.00,Historians,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS HISTORY,bachelor-of-arts-history,Intelligence Analyst,33-3021.06,Intelligence Analysts,gemini,0.98
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS HISTORY,bachelor-of-arts-history,International Relations Specialist,19-3094.00,Political Scientists,gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS HISTORY,bachelor-of-arts-history,Journalist,27-3023.00,"News Analysts, Reporters, and Journalists",curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS HISTORY,bachelor-of-arts-history,Museum Curator,25-4012.00,Curators,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS HISTORY,bachelor-of-arts-history,Nonprofit Organization Specialist,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS HISTORY,bachelor-of-arts-history,Policy Analyst,19-3094.00,Political Scientists,gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS HISTORY,bachelor-of-arts-history,Researcher,,,unmapped,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Academic Researcher,25-1199.00,"Postsecondary Teachers, All Other",gemini,0.75
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Archivist,25-4011.00,Archivists,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Community Development Officer,11-9151.00,Social and Community Service Managers,gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Content Writer,27-3043.00,Writers and Authors,gemini,0.95
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Creative Writer,27-3043.05,"Poets, Lyricists and Creative Writers",curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Cultural Consultant,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.8
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Diplomat,,,unmapped,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Editor/Publisher,27-3041.00,Editors,gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Ethnographer,19-3091.00,Anthropologists and Archeologists,gemini,0.9
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Government Policy Advisor,19-3094.00,Political Scientists,gemini,0.8
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Heritage Preservation Officer,25-4013.00,Museum Technicians and Conservators,gemini,0.8
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Historian,19-3093.00,Historians,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,International Relations Specialist,19-3094.00,Political Scientists,gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Journalist,27-3023.00,"News Analysts, Reporters, and Journalists",curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Language Instructor,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Media and Communications Specialist,27-3031.00,Public Relations Specialists,gemini,0.9
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Museum Curator,25-4012.00,Curators,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Non-Governmental Organization (NGO) Worker,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Political Analyst,19-3094.00,Political Scientists,gemini,0.95
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Public Relations Specialist,27-3031.00,Public Relations Specialists,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Religious Studies Scholar,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Social and Cultural Analyst,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Social Worker,21-1029.00,"Social Workers, All Other",gemini,0.9
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,Translator/Interpreter,27-3091.00,Interpreters and Translators,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS INDIAN STUDIES,bachelor-of-arts-indian-studies,University Lecturer,25-1199.00,"Postsecondary Teachers, All Other",gemini,0.9
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Academic Lecturer,25-1199.00,"Postsecondary Teachers, All Other",gemini,0.9
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Content Writer,27-3043.00,Writers and Authors,gemini,0.95
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Cultural Consultant,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.8
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Diplomat,,,unmapped,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Editor,27-3041.00,Editors,gemini,0.95
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Foreign Correspondent,27-3023.00,"News Analysts, Reporters, and Journalists",gemini,0.95
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Government Officer,,,unmapped,0.6
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Historian,19-3093.00,Historians,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,International Relations Officer,19-3094.00,Political Scientists,gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Interpreter,27-3091.00,Interpreters and Translators,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Journalist,27-3023.00,"News Analysts, Reporters, and Journalists",curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Language Instructor,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Market Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Museum Curator,25-4012.00,Curators,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Policy Advisor,19-3094.00,Political Scientists,gemini,0.8
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Publisher,43-9031.00,Desktop Publishers,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Researcher,,,unmapped,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Scriptwriter,27-3043.05,"Poets, Lyricists and Creative Writers",gemini,0.95
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Tour Guide,39-7011.00,Tour Guides and Escorts,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS CHINESE STUDIES,bachelor-of-arts-chinese-studies,Translator,27-3091.00,Interpreters and Translators,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Academic Researcher/Professor,25-1199.00,"Postsecondary Teachers, All Other",gemini,0.95
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Communications Consultant,13-1161.00,Market Research Analysts and Marketing Specialists,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Content Creator,27-3099.00,"Media and Communication Workers, All Other",gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Cultural Analyst,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.8
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Dramaturg,27-3043.00,Writers and Authors,gemini,0.8
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Editor,27-3041.00,Editors,gemini,0.95
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Journalist,27-3023.00,"News Analysts, Reporters, and Journalists",curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Literary Agent,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Literary Critic,27-3043.00,Writers and Authors,gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Media Specialist,27-3031.00,Public Relations Specialists,gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Public Relations Officer,27-3031.00,Public Relations Specialists,gemini,0.95
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Publishing Professional,27-3099.00,"Media and Communication Workers, All Other",gemini,0.75
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Scriptwriter,27-3043.05,"Poets, Lyricists and Creative Writers",gemini,0.95
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Theatre Director,27-2012.00,Producers and Directors,gemini,0.95
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF ARTS ENGLISH,bachelor-of-arts-english,Writer/Author,27-3043.00,Writers and Authors,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Broadcast Journalist,27-3023.00,"News Analysts, Reporters, and Journalists",gemini,0.95
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Communication Manager,11-2032.00,Public Relations Managers,gemini,0.95
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Creative Writer,27-3043.05,"Poets, Lyricists and Creative Writers",curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Digital Content Creator,27-3099.00,"Media and Communication Workers, All Other",gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Documentary Producer,27-2012.00,Producers and Directors,gemini,0.95
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Editorial Director,27-3041.00,Editors,gemini,0.9
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Event Manager,13-1121.00,"Meeting, Convention, and Event Planners",gemini,0.95
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Marketing Communication Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,gemini,0.9
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Media Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,gemini,0.75
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Media Designer,27-1024.00,Graphic Designers,gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Media Law Consultant,23-1011.00,Lawyers,gemini,0.8
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Media Planner,13-1161.00,Market Research Analysts and Marketing Specialists,gemini,0.85
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Media Researcher,13-1161.00,Market Research Analysts and Marketing Specialists,gemini,0.8
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Multimedia Producer,27-2012.00,Producers and Directors,gemini,0.9
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Photojournalist,27-4021.00,Photographers,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Publishing Manager,11-1021.00,General and Operations Managers,gemini,0.75
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Public Relations Specialist,27-3031.00,Public Relations Specialists,curated,
FACULTY OF ARTS & SOCIAL SCIENCE,BACHELOR OF MEDIA STUDIES (INDUSTRIAL MODE),bachelor-of-media-studies,Screenwriter,27-3043.05,"Poets, Lyricists and Creative Writers",gemini,0.95
